id,english_term,korean_term,abbreviation,category,workflow_stage,plain_description,business_example,related_terms,source_url,screen_hint,level,review_status
contract-compliance,Contract Compliance,계약 준수,,계약,계약,구매와 송장 처리가 계약 조건을 따르는지 관리하는 기능 또는 개념이다.,계약 단가를 초과한 구매 요청이 승인 전에 검토된다.,Contract; Purchase Order; Invoice,https://help.sap.com/docs/buying-invoicing/managing-contract-compliance/contract-compliance-in-sap-ariba-procurement-solutions,계약 준수/구매 규칙,실무,검수 필요
catalog,Catalog,카탈로그,,구매,구매요청,사용자가 구매할 수 있는 품목과 서비스 정보를 모아둔 목록이다.,사용자가 카탈로그에서 사무용품을 선택해 장바구니에 담는다.,Item; Requisition; Spot Buy,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,카탈로그 검색,기본,검수 필요
item,Item,품목,,구매,구매요청,구매 대상이 되는 물품이나 서비스의 단위다.,구매요청 한 줄에 노트북 1대가 품목으로 들어간다.,Line Item; Catalog,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,품목 상세/라인,기본,검수 필요
line-item,Line Item,라인 품목,,구매,구매요청,문서 안에서 개별 구매 품목이나 서비스를 나타내는 한 줄이다.,발주서에 노트북과 모니터가 각각 다른 라인 품목으로 표시된다.,Item; Purchase Order; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,문서 라인,기본,검수 필요
requisition,Purchase Requisition,구매요청,PR,구매,구매요청,사용자가 물품이나 서비스를 구매하기 위해 내부 승인에 올리는 요청 문서다.,직원이 노트북 구매요청을 생성하고 팀장 승인을 받는다.,Approval; Purchase Order; Catalog,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,구매요청 생성/상세,기본,검수 필요
approval,Approval,승인,,승인,승인,문서나 요청이 정해진 승인자에게 검토되고 허가되는 절차다.,구매요청 금액이 기준을 넘으면 부서장 승인이 필요하다.,Approver; Requisition; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,승인 작업함,기본,검수 필요
approver,Approver,승인자,,승인,승인,문서나 요청을 검토하고 승인 또는 반려하는 사용자다.,팀장이 구매요청 승인자로 지정된다.,Approval; Requisition,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,승인 흐름/작업함,기본,검수 필요
purchase-order,Purchase Order,발주서,PO,구매,발주,구매자가 공급업체에 물품이나 서비스를 주문하는 공식 문서다.,승인된 구매요청이 발주서로 전환되어 공급업체에 전달된다.,Requisition; Supplier; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,발주서 목록/상세,기본,검수 필요
release-order,Release Order,계약 발주,,구매,발주,기존 계약을 참조해 발행하는 발주서다.,단가 계약에 따라 월별 필요한 수량만큼 계약 발주를 생성한다.,Contract; Purchase Order,https://help.sap.com/docs/buying-invoicing/managing-contract-compliance/contract-compliance-in-sap-ariba-procurement-solutions,계약 참조 발주,실무,검수 필요
goods-receipt,Goods Receipt,입고,GR,입고,입고,주문한 물품이나 서비스가 실제로 도착했거나 제공되었음을 기록하는 처리다.,노트북 10대 중 8대가 도착해 8대만 입고 처리한다.,Purchase Order; Receiving; Invoice,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/evaluated-receipt-settlement-and-automatic-invoicing-2e2fdf0472b94be08c08c0bb226df320,입고 처리,기본,검수 필요
receiving,Receiving,입고 처리,,입고,입고,발주된 품목을 받았는지 확인하고 시스템에 기록하는 업무다.,물품 수령 후 수량과 상태를 확인해 입고 처리한다.,Goods Receipt; Purchase Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,입고 화면,기본,검수 필요
invoice,Invoice,송장,,송장,송장,공급업체가 구매자에게 대금을 청구하기 위해 제출하는 문서다.,공급업체가 납품 후 발주서를 참조해 송장을 발행한다.,Purchase Order; Invoice Reconciliation; Payment,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 생성/상세,기본,검수 필요
invoice-reconciliation,Invoice Reconciliation,송장 대사,IR,송장,송장,송장과 발주 및 입고와 계약 조건을 비교해 지급 가능 여부를 확인하는 절차다.,송장 금액이 발주 금액과 다르면 예외로 표시되어 검토된다.,Invoice; Exception; Payment,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 대사/예외,실무,검수 필요
exception,Exception,예외,,송장,송장,송장이나 문서가 규칙 또는 기준과 맞지 않아 추가 검토가 필요한 상태다.,송장 수량이 입고 수량보다 많으면 예외가 발생한다.,Invoice Reconciliation; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,예외 목록/상세,실무,검수 필요
payment-request,Payment Request,지급 요청,,송장,지급,지급 처리를 추적하기 위한 승인 가능한 문서 또는 요청이다.,송장 대사가 완료되면 지급 요청이 생성되어 결제 프로세스로 이어진다.,Invoice; Payment,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,지급 요청/송장 후속 처리,실무,검수 필요
ers,Evaluated Receipt Settlement,입고 기준 자동 송장,ERS,송장,송장,입고 정보와 발주 정보를 기준으로 시스템이 송장을 생성하는 방식이다.,15개 주문 중 10개가 입고되면 10개 기준으로 송장이 생성된다.,Goods Receipt; Invoice,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/evaluated-receipt-settlement-and-automatic-invoicing-2e2fdf0472b94be08c08c0bb226df320,자동 송장/ERS 설정,고급,검수 필요
spot-buy,Spot Buy,스팟 구매,,구매,구매요청,정해진 카탈로그나 계약 밖에서 필요한 품목을 찾아 구매하는 기능 또는 절차다.,카탈로그에 없는 특수 부품을 스팟 구매로 요청한다.,Catalog; Requisition,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,스팟 구매 검색,실무,검수 필요
shopping-cart,Shopping Cart,장바구니,,구매,구매요청,사용자가 구매하려는 품목을 담아 구매요청으로 전환하기 전 확인하는 묶음이다.,사용자가 카탈로그 품목을 장바구니에 담고 배송지와 회계 정보를 확인한다.,Catalog; Requisition; Item,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,장바구니/체크아웃,기본,검수 필요
non-catalog-item,Non-Catalog Item,비카탈로그 품목,,구매,구매요청,카탈로그에 등록되어 있지 않아 사용자가 직접 설명과 가격 정보를 입력해 요청하는 품목이다.,카탈로그에 없는 장비 수리 서비스를 비카탈로그 품목으로 요청한다.,Catalog; Requisition; Spot Buy,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,비카탈로그 요청,실무,검수 필요
commodity-code,Commodity Code,품목 분류 코드,,구매,구매요청,구매 품목이나 서비스를 분류하기 위해 사용하는 코드다.,노트북 구매요청에 IT 장비에 해당하는 품목 분류 코드를 지정한다.,Item; Catalog; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,품목 상세/분류,실무,검수 필요
accounting,Accounting,회계 정보,,구매,구매요청,구매 비용을 어느 비용센터나 계정에 배부할지 나타내는 정보다.,구매요청 작성 시 비용센터와 계정 코드를 입력한다.,Cost Center; Requisition; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,회계 정보 입력,기본,검수 필요
cost-center,Cost Center,비용센터,,구매,구매요청,비용이 귀속되는 조직 또는 관리 단위다.,마케팅팀 예산으로 구매하는 경우 마케팅 비용센터를 지정한다.,Accounting; Requisition; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,회계 정보/비용 배부,기본,검수 필요
ship-to,Ship To,납품처,,구매,발주,공급업체가 물품이나 서비스를 납품해야 하는 장소 또는 수령 조직이다.,발주서에 본사 IT 창고를 납품처로 지정한다.,Purchase Order; Receiving,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,배송/납품 정보,기본,검수 필요
bill-to,Bill To,청구처,,송장,송장,송장 청구 대상이 되는 회사나 사업장 정보다.,공급업체 송장에 본사 법인이 청구처로 표시된다.,Invoice; Purchase Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장/발주서 청구 정보,기본,검수 필요
remittance-advice,Remittance Advice,지급 통지,,송장,지급,구매자가 공급업체에게 지급 내역이나 지급 예정 정보를 알려주는 문서다.,공급업체가 지급 통지를 보고 어떤 송장이 지급되었는지 확인한다.,Payment Request; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,지급 상태/통지,실무,검수 필요
service-entry-sheet,Service Entry Sheet,서비스 실적 확인서,SES,입고,입고,서비스가 실제로 제공되었음을 확인하고 기록하는 문서다.,컨설팅 서비스 수행 후 담당자가 서비스 실적 확인서를 승인한다.,Receiving; Invoice; Purchase Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,서비스 입고/실적 확인,실무,검수 필요
three-way-match,Three-Way Match,3자 대사,,송장,송장,발주서와 입고 및 송장을 비교해 수량과 금액이 맞는지 확인하는 검증 방식이다.,송장 수량이 입고 수량보다 많으면 대사 예외가 발생한다.,Purchase Order; Goods Receipt; Invoice,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 대사/예외,실무,검수 필요
credit-memo,Credit Memo,대변 메모,,송장,송장,공급업체가 기존 청구 금액을 줄이거나 조정하기 위해 발행하는 문서다.,반품이나 가격 조정이 발생해 공급업체가 대변 메모를 제출한다.,Invoice; Payment,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 조정/크레딧,실무,검수 필요
invoice-exception,Invoice Exception,송장 예외,,송장,송장,송장이 발주나 입고 조건과 맞지 않아 검토가 필요한 상태다.,송장 단가가 발주 단가와 달라 송장 예외로 분류된다.,Invoice; Invoice Reconciliation; Exception,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,송장 예외 목록,실무,검수 필요
asn,Advance Ship Notice,사전 출하 통지,ASN,공급업체 네트워크,입고,공급업체가 물품 출하 전에 구매자에게 배송 정보를 알려주는 문서다.,공급업체가 출하 수량과 도착 예정일을 사전 출하 통지로 보낸다.,Purchase Order; Receiving; Supplier,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,출하 통지/입고 예정,실무,검수 필요
order-confirmation,Order Confirmation,주문 확인,,공급업체 네트워크,발주,공급업체가 발주서를 수락하거나 변경 조건을 알려주는 응답이다.,공급업체가 납기 변경을 포함한 주문 확인을 보낸다.,Purchase Order; Supplier,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,주문 확인/공급업체 응답,기본,검수 필요
supplier-profile,Supplier Profile,공급업체 프로필,,공급업체 네트워크,공급업체 온보딩,공급업체의 회사 정보와 연락처 및 자격 정보를 담는 프로필이다.,신규 공급업체가 회사 주소와 세금 정보를 프로필에 등록한다.,Supplier; Supplier Enablement,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 프로필,기본,검수 필요
supplier-registration,Supplier Registration,공급업체 등록,,공급업체 네트워크,공급업체 온보딩,공급업체가 구매자와 거래하기 위해 필요한 정보를 제출하고 등록되는 절차다.,공급업체가 등록 설문을 작성하고 승인 후 거래 가능 상태가 된다.,Supplier; Supplier Profile; Qualification,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 등록/설문,실무,검수 필요
qualification,Qualification,자격 심사,,공급업체 네트워크,공급업체 온보딩,공급업체가 특정 품목이나 지역에서 거래할 자격이 있는지 평가하는 절차다.,품질 인증서를 제출한 공급업체만 특정 카테고리 거래 자격을 얻는다.,Supplier Registration; Supplier Profile,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,공급업체 자격 심사,실무,검수 필요
workspace,Workspace,워크스페이스,,공통,공통,문서와 작업 및 팀 구성원과 승인 상태를 한곳에서 관리하는 작업 공간이다.,계약 워크스페이스에서 계약서와 관련 작업을 함께 관리한다.,Contract Workspace; Task; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,워크스페이스 상세,기본,검수 필요
task,Task,작업,,공통,승인,사용자에게 배정된 처리 항목이나 할 일이다.,계약 검토 작업이 법무 담당자에게 배정된다.,Workspace; Approval,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,작업함/워크스페이스 작업,기본,검수 필요
template,Template,템플릿,,공통,공통,반복되는 문서나 프로세스를 만들 때 사용하는 표준 양식이다.,소싱 이벤트 템플릿으로 질문과 일정 구조를 재사용한다.,Workspace; Sourcing Event; Contract Workspace,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,템플릿 선택/관리,실무,검수 필요
guided-buying,Guided Buying,가이드 구매,,구매,구매요청,사용자가 정책에 맞는 구매 경로를 찾도록 안내하는 구매 경험 또는 기능이다.,사용자가 필요한 품목을 검색하면 카탈로그와 비카탈로그 요청 또는 스팟 구매 중 적절한 경로를 안내받는다.,Catalog; Requisition; Spot Buy,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,가이드 구매 홈/검색,실무,검수 필요
requester,Requester,요청자,,구매,구매요청,구매요청을 생성하고 제출하는 사용자다.,직원이 필요한 장비를 구매요청으로 제출하면 요청자가 된다.,Requisition; Preparer; Approval,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,구매요청 작성자,기본,검수 필요
preparer,Preparer,작성 대행자,,구매,구매요청,다른 사용자를 대신해 구매요청을 작성하는 사용자다.,비서가 임원을 대신해 구매요청을 작성한다.,Requester; Requisition,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,구매요청 작성/대행,실무,검수 필요
approvable,Approvable,승인 대상 문서,,승인,승인,승인 흐름을 거쳐야 하는 구매요청이나 송장 같은 문서다.,구매요청과 송장 대사는 승인 대상 문서로 처리될 수 있다.,Approval; Approval Flow,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,승인 대상 문서,실무,검수 필요
approval-flow,Approval Flow,승인 흐름,,승인,승인,요청이 어떤 승인자와 규칙을 거쳐 처리되는지 나타내는 흐름이다.,금액과 품목 분류에 따라 부서장과 구매팀이 승인 흐름에 추가된다.,Approval; Approval Rule; Approver,https://help.sap.com/docs/buying-invoicing/guided-buying-administration/approval-flows-in-guided-buying-f75adff652ab4a658d7173a2b7e39495,승인 흐름 다이어그램,기본,검수 필요
approval-rule,Approval Rule,승인 규칙,,승인,승인,승인자가 추가되는 조건과 동작을 정의하는 규칙이다.,일정 금액 이상이면 재무 승인자를 추가하는 승인 규칙을 둔다.,Approval Flow; Approver,https://help.sap.com/docs/buying-invoicing/guided-buying-administration/approval-flows-in-guided-buying-f75adff652ab4a658d7173a2b7e39495,승인 프로세스 설정,고급,검수 필요
denial,Denial,반려,,승인,승인,승인자가 요청을 승인하지 않고 되돌리는 처리다.,예산 정보가 틀린 구매요청이 반려되어 수정 후 재제출된다.,Approval; Requisition,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,승인 작업함,기본,검수 필요
withdraw,Withdraw,철회,,승인,승인,제출한 요청을 사용자가 취소하거나 회수하는 처리다.,필요가 사라진 구매요청을 요청자가 철회한다.,Requisition; Denial,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,구매요청 상세,기본,검수 필요
purchasing-agent,Purchasing Agent,구매 담당자,,구매,발주,구매 운영과 발주 처리를 담당하는 사용자 역할이다.,집계 대상 품목은 구매 담당자가 별도 구매요청으로 묶어 처리한다.,Demand Aggregation; Purchase Order,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,구매 담당자 작업함,실무,검수 필요
demand-aggregation,Demand Aggregation,수요 집계,,구매,구매요청,여러 구매요청의 일부 품목을 묶어 더 효율적으로 구매하도록 하는 기능이다.,동일 품목 요청을 모아 구매 담당자가 집계 구매요청을 만든다.,Aggregated Requisition; Purchasing Agent,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,수요 집계/보류 품목,고급,검수 필요
aggregated-requisition,Aggregated Requisition,집계 구매요청,,구매,구매요청,수요 집계로 묶인 품목을 구매 담당자가 처리하기 위해 만든 구매요청이다.,여러 부서의 사무용품 요청을 하나의 집계 구매요청으로 묶는다.,Demand Aggregation; Requisition,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,집계 구매요청,고급,검수 필요
items-held-for-consolidation,Items Held for Consolidation,통합 보류 품목,,구매,구매요청,수요 집계를 위해 일반 발주 생성에서 제외되어 보류된 품목이다.,승인된 구매요청의 일부 라인이 통합 보류 품목으로 표시된다.,Demand Aggregation; Aggregated Requisition,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,통합 보류 품목 테이블,고급,검수 필요
ordering-method,Ordering Method,발주 전송 방식,,구매,발주,발주서를 공급업체에 어떤 방식으로 전달할지 정하는 방식이다.,공급업체별로 SAP Business Network 전송이나 이메일 전송 방식을 설정한다.,Purchase Order; SAP Business Network,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,공급업체/발주 설정,실무,검수 필요
order-routing,Order Routing,주문 라우팅,,공급업체 네트워크,발주,발주서가 공급업체에게 전달되는 경로와 방식을 정하는 설정이다.,공급업체가 네트워크 계정으로 주문을 받도록 주문 라우팅을 설정한다.,Ordering Method; Purchase Order,https://help.sap.com/docs/business-network-for-procurement/introduction-to-business-network/about-sap-business-network,주문 라우팅 설정,실무,검수 필요
manual-order,Manual Order,수동 발주,,구매,발주,SAP Business Network 대신 팩스나 이메일 같은 수동 방식으로 전달되는 발주다.,네트워크에 연결되지 않은 공급업체에는 수동 발주를 보낸다.,Purchase Order; Ordering Method,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,발주 전송 방식,실무,검수 필요
change-order,Change Order,변경 발주,,구매,발주,이미 발행된 발주서의 수량이나 일정 등 조건을 변경하는 문서나 처리다.,납기가 바뀌어 기존 발주서에 변경 발주를 보낸다.,Purchase Order; Order Confirmation,https://help.sap.com/docs/business-network-for-trading-partners/receiving-and-fulfilling-orders/order-confirmations,발주 변경/공급업체 응답,실무,검수 필요
cancel-order,Cancel Order,발주 취소,,구매,발주,이미 생성된 발주서를 취소하는 처리다.,품목 구매가 불필요해져 공급업체에 발주 취소가 전달된다.,Purchase Order; Change Order,https://help.sap.com/docs/ariba/sap-ariba-glossary/sap-ariba-glossary,발주서 상세,실무,검수 필요
control-key,Control Key,제어 키,,공급업체 네트워크,발주,공급업체가 주문 확인이나 출하 통지를 만들어야 하는지 제어하는 키다.,발주 라인의 제어 키가 주문 확인을 필수로 요구한다.,Order Confirmation; Ship Notice,https://help.sap.com/docs/business-network-for-supply-chain/business-network-buyer-administration/order-confirmation-and-ship-notice-control-keys,발주 라인 상세/거래 규칙,고급,검수 필요
transaction-rule,Transaction Rule,거래 규칙,,공급업체 네트워크,공급업체 협업,SAP Business Network에서 공급업체 거래 문서 작성 방식을 제어하는 규칙이다.,출하 예정일이 과거인 주문 확인을 막는 거래 규칙을 설정한다.,Order Confirmation; Ship Notice,https://help.sap.com/docs/business-network-for-procurement/business-network-supply-chain-integration-configuration/order-confirmation-and-ship-notice-rules-05c383a5d7714885b6fb1909ce52f63a,기본 거래 규칙,고급,검수 필요
receipt,Receipt,수령 확인,,입고,입고,물품이나 서비스가 도착했음을 시스템에 기록한 문서 또는 처리 결과다.,요청자가 도착한 물품 수량을 수령 확인으로 입력한다.,Goods Receipt; Receiving,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,입고/수령 확인,기본,검수 필요
partial-receipt,Partial Receipt,부분 입고,,입고,입고,주문 수량 중 일부만 도착했을 때 일부 수량만 입고 처리하는 것이다.,10개 중 4개가 먼저 도착해 부분 입고를 등록한다.,Receipt; Goods Receipt,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/about-workflow-of-purchase-requisitions-8b3f5dbe7a7b4427a1039a46dfe475d3,입고 상세,기본,검수 필요
negative-receipt,Negative Receipt,마이너스 입고,,입고,입고,반품이나 정정을 위해 기존 입고 수량을 줄이는 입고 처리다.,잘못 입고한 수량을 마이너스 입고로 조정한다.,Receipt; Return,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,입고 정정/반품,고급,검수 필요
return,Return,반품,,입고,입고,받은 물품을 공급업체에 되돌리는 처리다.,손상된 물품을 반품하고 입고 수량을 조정한다.,Negative Receipt; Receipt,https://help.sap.com/docs/buying-invoicing/invoicing-and-payment-process-guide/workflow-for-goods-receipt-based-invoice-verification-in-sap-ariba-buying-and-invoicing-aede7515ef3148f5a0f96e05d8670438,반품/입고 정정,실무,검수 필요
service-sheet,Service Sheet,서비스 시트,,입고,입고,서비스 제공 내역을 공급업체나 구매자가 작성해 승인받는 문서다.,공급업체가 수행한 유지보수 내역을 서비스 시트로 제출한다.,Service Entry Sheet; Purchase Order,https://help.sap.com/docs/buying-invoicing/purchasing-guide-for-procurement-professionals/purchase-order-process-6b32ab8fc1da1014bbcef40b7787d981,서비스 시트,실무,검수 필요
lean-service,Lean Service,린 서비스,,입고,입고,간소화된 방식으로 처리되는 서비스 품목 유형이다.,간단한 현장 작업을 린 서비스 품목으로 주문한다.,Service Sheet; Order Confirmation,https://help.sap.com/docs/business-network-for-trading-partners/receiving-and-fulfilling-orders/order-confirmations,서비스 품목/주문 확인,고급,검수 필요
ship-notice,Ship Notice,출하 통지,,공급업체 네트워크,입고,공급업체가 발주 품목을 출하했거나 출하할 예정임을 구매자에게 알리는 문서다.,공급업체가 발주서 상세에서 출하 통지를 생성한다.,Advance Ship Notice; Receiving,https://help.sap.com/docs/sisgw/sap-ariba-cloud-integration-gateway-overview-guide/ship-notice,출하 통지 목록/상세,기본,검수 필요
carrier,Carrier,운송업체,,공급업체 네트워크,입고,출하된 물품을 운송하는 업체다.,출하 통지에 운송업체와 추적 번호가 포함된다.,Ship Notice; Tracking Number,https://help.sap.com/docs/business-network-for-procurement/business-network-buyer-administration/viewing-ship-notices,출하 통지 상세,기본,검수 필요
tracking-number,Tracking Number,운송장 번호,,공급업체 네트워크,입고,배송 상태를 추적하기 위한 번호다.,구매자가 출하 통지의 운송장 번호로 배송 상태를 확인한다.,Ship Notice; Carrier,https://help.sap.com/docs/business-network-for-procurement/business-network-buyer-administration/viewing-ship-notices,출하 통지 상세,기본,검수 필요
